Subject,Start Date,End Date,Location,Country,Venue,Tutorial Deadline,Talk Deadline,Website URL,Proposal URL,Sponsorship URL
DePy,2016-05-06,2016-05-07,"Chicago, Illinois, USA",USA,,,,https://web.archive.org/web/20170725125219/https://mdp.cdm.depaul.edu/DePy2016,,
PyData Paris,2016-06-14,2016-06-15,"Paris, France",FRA,,,,https://pydata.org/paris2016,,https://pydata.org/wp-content/uploads/2022/03/PyData-2022-Sponsorship-Prospectus-v4-1.pdf
Python Unconference,2016-09-09,2016-09-11,"Hamburg, Germany",DEU,,,,https://web.archive.org/web/20170703234229/www.pyunconf.de/en,,
