Subject,Start Date,End Date,Location,Country,Venue,Tutorial Deadline,Talk Deadline,Website URL,Proposal URL,Sponsorship URL
PyCamp Leipzig,2021-01-30,2021-01-30,"Leipzig, Saxony, Germany",DEU,Online,,,https://barcamps.eu/pycamp-leipzig-2021,,https://barcamps.eu/pycamp-leipzig-2021
BelPy,2021-01-30,2021-02-01,Online,,,,,https://belpy.in,,
PyCon Iran,2021-02-16,2021-02-17,Iran,IRN,,,,https://ir.pycon.org/?lang=en,,
WeAreDevelopers Live - Python Day,2021-02-17,2021-02-18,Online,,,,,https://wearedevelopers.com/event/python-day,,
PyCascades,2021-02-19,2021-02-21,"Pacific Northwest, USA and Canada",USA,Online,,,https://2021.pycascades.com,,https://2021.pycascades.com/sponsors/become-a-sponsor
PyCon Belarus,2021-03-13,2021-03-14,Online,,,,,https://by.pycon.org,,
PyCon Cameroon,2021-03-18,2021-03-21,"Douala, Cameroon",CMR,,,,https://pythoncm.org/pycon.html,,
Python Web Conference,2021-03-22,2021-03-27,"Fishers, Indiana, USA",USA,Online,,,https://pythonwebconference.com,,
Python for ML and AI Global Summit,2021-04-08,2021-04-10,USA,USA,Online,,,https://link.geekle.us/python/offsite,,
GeoPython,2021-04-22,2021-04-23,"Basel, Basel-Stadt, Switzerland",CHE,Online,2021-01-31,2021-01-25,https://2021.geopython.net,https://submit.geopython.net/gp2021/cfp,
PyCon US,2021-05-12,2021-05-18,USA,USA,Online,2021-02-12,2021-02-12,https://us.pycon.org/2021,https://us.pycon.org/2021/speaking/talks,https://us.pycon.org/2021/sponsorship/why-sponsor
Conf42 Python,2021-05-27,2021-05-28,Online,,,,,https://www.conf42.com/python2021,,
DjangoCon Europe,2021-06-02,2021-06-06,"Porto, Oporto, Portugal",PRT,Online,2021-04-01,2021-04-01,https://2021.djangocon.eu,https://2021.djangocon.eu/talks/cfp,https://2021.djangocon.eu/sponsors/sponsorships
PyFest,2021-06-16,2021-06-19,Online,,,,,https://pyfest.online,,
PyCon Namibia,2021-06-18,2021-06-20,"Windhoek, Namibia",NAM,,,,https://na.pycon.org,,
PyHEP,2021-07-05,2021-07-10,Online,,,,,https://indico.cern.ch/e/PyHEP2021,,
SciPy,2021-07-12,2021-07-19,"Austin, TX, USA",USA,,,,https://www.scipy2021.scipy.org,,
EuroPython,2021-07-26,2021-08-01,"Dublin, Ireland",IRL,Online,,,https://ep2021.europython.eu,,https://us.pycon.org/2021/sponsorship/why-sponsor
PyOhio,2021-07-31,2021-07-31,"Columbus, Ohio, USA",USA,Online,,2021-05-02,https://www.pyohio.org/2021,https://www.pyohio.org/cfp,
PyConline AU,2021-09-10,2021-09-13,"Online, Australia",AUS,,,,https://2021.pycon.org.au,,
PyCon Odessa,2021-09-11,2021-09-12,"Odessa, Odesa Oblast, Ukraine",UKR,Shantambala Retreat & Resort,,,https://pyconodessa.com,,
PyCon India,2021-09-17,2021-09-21,Online,,,,,https://in.pycon.org/2021,,
PyCon TW,2021-10-02,2021-10-04,Taiwan,TWN,,,,https://tw.pycon.org/2021/en-us,,
PyConZA,2021-10-07,2021-10-09,Online,,,,,https://za.pycon.org,,
PyBay,2021-10-09,2021-10-09,"San Francisco, California, USA",USA,Parklab Gardens,,,https://pybay.com,,
PyCon JP,2021-10-15,2021-10-16,"Tokyo, Kantō, Japan",JPN,Online,,,https://2021.pycon.jp,,
PyCon Sweden,2021-10-21,2021-10-23,"Stockholm, Sweden",SWE,Online,,,https://www.pycon.se,,
Plone Conference,2021-10-23,2021-11-01,Online,,,,,https://2021.ploneconf.org,,
PyData Global,2021-10-28,2021-10-30,Online,USA,Online,2021-08-15,2021-08-15,https://pydata.org/global2021,https://pydata.org/global2021/present,https://pydata.org/global2021/sponsor
PyCon Chile,2021-11-05,2021-11-08,Online,,,,,https://pycon.cl,,
PyCon JP,2021-11-15,2021-11-16,Online,,,,,https://2021.pycon.jp,,
Women Who Code CONNECT Forward,2021-11-18,2021-11-20,Online,,,,,https://connectforward.womenwhocode.dev,,
PyCon Asia Pacific,2021-11-19,2021-11-24,"Bangkok, Thailand and online",THA,,,,https://th.pycon.org,,
XtremePython,2021-11-24,2021-11-25,Online,,,,,https://xtremepython.dev,,
FlaskCon,2021-12-01,2021-12-04,Online,,Online,,,https://flaskcon.com/y/2021,,
PyCon Tanzania,2021-12-01,2021-12-06,"Dar es Salaam, Tanzania",TZA,,,,https://pycon.or.tz,,
PyCode Conference,2021-12-02,2021-12-04,Online,,,,,https://pycode-conference.org,,
PyCon Indonesia,2021-12-04,2021-12-05,Indonesia,IDN,Online,,,https://pycon.id,,https://pycon.id/sponsorship
Pyjamas Conf,2021-12-04,2021-12-06,Online,,,,,https://pyjamas.live,,
